Unnamed: 0,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
103,13,SBST,1,TRUNK,55509.0,94009.0,09-11,08-13,10-14,13-17,No Loop
104,13,SBST,2,TRUNK,94009.0,55509.0,10-13,08-14,08-11,11-19,No Loop
105,130,SBST,1,TRUNK,54009.0,3239.0,08-10,10-14,10-16,14-16,No Loop
106,130,SBST,2,TRUNK,3239.0,54009.0,12-14,10-14,10-14,13-15,No Loop
107,130A,SBST,1,TRUNK,54009.0,53189.0,10-22,10-42,-,-,No Loop
108,131,SBST,1,TRUNK,52499.0,10009.0,07-11,09-14,09-10,10-14,No Loop
109,131,SBST,2,TRUNK,10009.0,52499.0,09-10,09-14,09-10,10-13,No Loop
110,131A,SBST,1,TRUNK,52499.0,3217.0,21-21,-,-,-,No Loop
111,131M,SBST,1,TRUNK,10009.0,10009.0,27-33,29-29,24-33,33-33,Bt Purmei Ave
112,132,SBST,1,TRUNK,64009.0,10009.0,09-16,08-19,13-19,13-19,No Loop
113,132,SBST,2,TRUNK,10009.0,64009.0,11-15,10-19,07-14,15-16,No Loop
114,133,SBST,1,TRUNK,54009.0,3239.0,08-09,09-12,09-12,10-12,No Loop
115,133,SBST,2,TRUNK,3239.0,54009.0,11-12,08-11,08-09,10-11,No Loop
116,134,SBST,1,TRUNK,80289.0,80289.0,10-10,10-12,12-12,11-12,Marine Terr
117,135,SBST,1,TRUNK,54009.0,54009.0,10-11,09-14,11-17,12-15,Siglap Rd
118,135A,SBST,1,TRUNK,54009.0,93201.0,-,-,-,14-14,Siglap Rd
119,137,SBST,1,TRUNK,80289.0,94009.0,15-15,15-15,15-15,15-15,No Loop
120,137,SBST,2,TRUNK,94009.0,80289.0,15-15,15-15,15-15,15-15,No Loop
121,137A,SBST,1,TRUNK,84031.0,84451.0,15-19,-,-,-,No Loop
122,138,SBST,1,TRUNK,54009.0,54009.0,10-11,08-11,08-11,08-12,Mandai Lake Rd
123,138A,SBST,1,TRUNK,54009.0,48131.0,-,13-14,-,-,Mandai Lake Rd
124,138B,SBST,1,TRUNK,54009.0,55121.0,-,-,22-22,14-24,No Loop
125,139,SBST,1,TRUNK,52009.0,10009.0,08-10,10-15,10-13,13-17,No Loop
126,139,SBST,2,TRUNK,10009.0,52009.0,10-12,09-16,10-13,12-17,No Loop
127,139M,SBST,1,TRUNK,52009.0,52009.0,10-19,12-20,10-20,12-18,Jln Bahagia
128,13A,SBST,1,TRUNK,54019.0,53231.0,10-19,11-19,-,-,No Loop
129,14,SBST,1,TRUNK,84009.0,17009.0,09-12,07-16,14-15,10-19,No Loop
130,14,SBST,2,TRUNK,17009.0,84009.0,12-14,09-16,10-12,13-17,No Loop
131,140,SBST,1,TRUNK,80009.0,80009.0,14-14,14-15,14-15,14-15,St. Wilfred Rd
132,141,SBST,1,TRUNK,80009.0,52009.0,11-13,13-15,14-15,13-15,No Loop
133,141,SBST,2,TRUNK,52009.0,80009.0,10-12,12-15,11-15,13-15,No Loop
134,142,SBST,1,TRUNK,52009.0,52009.0,08-09,07-10,08-08,08-11,Potong Pasir Ave 1
135,142A,SBST,1,TRUNK,52009.0,60209.0,-,-,-,-,Potong Pasir Ave 1
136,145,SBST,1,TRUNK,52009.0,11379.0,06-08,06-14,09-11,11-14,No Loop
137,145,SBST,2,TRUNK,11379.0,52009.0,07-09,06-11,06-10,12-14,No Loop
138,145A,SBST,1,TRUNK,10209.0,14249.0,09-24,12-26,-,-,No Loop
139,147,SBST,1,TRUNK,64009.0,17009.0,06-11,06-18,09-13,07-13,No Loop
140,147,SBST,2,TRUNK,17009.0,64009.0,07-10,08-14,07-10,09-11,No Loop
141,147A,SBST,1,TRUNK,64009.0,5019.0,17-23,15-51,-,-,No Loop
142,147e,SBST,1,EXPRESS,4239.0,17009.0,20-20,20-30,20-30,20-30,No Loop
143,147e,SBST,2,EXPRESS,17009.0,4222.0,20-30,20-30,20-20,20-30,No Loop
144,14A,SBST,1,TRUNK,84009.0,9059.0,18-18,14-24,-,-,No Loop
145,14e,SBST,1,EXPRESS,84211.0,9048.0,12-13,-,-,-,No Loop
146,14e,SBST,2,EXPRESS,9048.0,84219.0,-,-,12-12,-,No Loop
147,150,SBST,1,TRUNK,82009.0,82009.0,12-12,13-15,12-13,14-15,Marine Terr
148,151,SBST,1,TRUNK,64009.0,16009.0,06-12,06-15,08-10,14-17,No Loop
149,151,SBST,2,TRUNK,16009.0,64009.0,07-13,07-17,08-09,10-20,No Loop
150,151e,SBST,1,EXPRESS,64009.0,16009.0,15-15,-,-,-,No Loop
151,151e,SBST,2,EXPRESS,16009.0,64009.0,-,-,15-15,-,No Loop
152,153,SBST,1,TRUNK,10009.0,64009.0,10-14,10-16,9-11,15-16,No Loop
153,153,SBST,2,TRUNK,64009.0,10009.0,10-14,8-15,9-18,15-19,No Loop
154,154,SBST,1,TRUNK,22009.0,82009.0,05-10,07-19,06-16,09-19,No Loop
155,154,SBST,2,TRUNK,82009.0,22009.0,09-13,06-14,06-11,08-15,No Loop
156,154A,SBST,1,TRUNK,21551.0,28091.0,22-25,-,-,-,No Loop
157,154B,SBST,1,TRUNK,22009.0,12101.0,08-42,-,-,-,No Loop
158,155,SBST,1,TRUNK,52009.0,84009.0,10-15,09-16,15-17,14-17,No Loop
159,155,SBST,2,TRUNK,84009.0,52009.0,10-12,10-18,10-17,16-17,No Loop
160,156,SBST,1,TRUNK,67009.0,17009.0,09-17,09-17,11-15,15-19,No Loop
161,156,SBST,2,TRUNK,17009.0,67009.0,11-14,09-17,10-14,15-17,No Loop
162,157,SBST,1,TRUNK,52009.0,22009.0,08-14,07-15,08-10,11-15,No Loop
163,157,SBST,2,TRUNK,22009.0,52009.0,09-11,07-15,08-12,11-17,No Loop
164,158,SBST,1,TRUNK,66009.0,66009.0,11-13,10-16,13-14,13-17,Rhu Cross
165,158A,SBST,1,TRUNK,81089.0,81081.0,24-27,-,-,-,Rhu Cross
166,159,SBST,1,TRUNK,67009.0,52009.0,05-14,05-13,08-12,11-13,No Loop
167,159,SBST,2,TRUNK,52009.0,67009.0,08-15,05-15,09-12,10-13,No Loop
168,159A,SBST,1,TRUNK,67009.0,54399.0,12-25,15-15,-,-,No Loop
169,159B,SBST,1,TRUNK,54391.0,54481.0,03-55,-,-,-,No Loop
170,16,SBST,1,TRUNK,84009.0,10009.0,08-09,07-13,10-12,10-12,No Loop
171,16,SBST,2,TRUNK,10009.0,84009.0,10-10,07-13,10-11,10-13,No Loop
172,160,SBST,1,TRUNK,28009.0,28009.0,15-18,12-20,14-17,15-20,Jln Jim Quee
173,160A,SBST,1,TRUNK,28009.0,43671.0,13-15,15-15,15-15,14-15,No Loop
174,161,SBST,1,TRUNK,64009.0,46009.0,5-9,6-11,7-9,9-13,No Loop
175,161,SBST,2,TRUNK,46009.0,64009.0,5-10,6-10,6-10,8-12,No Loop
176,162,SBST,1,TRUNK,55509.0,3239.0,10-11,09-15,09-10,-,No Loop
177,162,SBST,2,TRUNK,3239.0,55509.0,14-15,08-15,12-19,19-19,No Loop
178,162M,SBST,1,TRUNK,55509.0,55509.0,11-13,12-15,14-15,14-15,Temasek Ave
179,163,SBST,1,TRUNK,67009.0,52009.0,09-12,09-16,10-17,14-18,No Loop
180,163,SBST,2,TRUNK,52009.0,67009.0,10-15,07-18,07-15,10-17,No Loop
181,163A,SBST,1,TRUNK,67009.0,67651.0,-,-,-,16-17,No Loop
182,165,SBST,1,TRUNK,64009.0,17009.0,08-14,09-17,10-11,13-17,No Loop
183,165,SBST,2,TRUNK,17009.0,64009.0,10-12,09-14,09-15,12-15,No Loop
184,166,SBST,1,TRUNK,54009.0,17009.0,08-10,08-19,09-13,13-19,No Loop
185,166,SBST,2,TRUNK,17009.0,54009.0,09-11,06-16,10-18,13-19,No Loop
186,168,SBST,1,TRUNK,84009.0,46009.0,5-9,6-11,6-11,10-13,No Loop
187,168,SBST,2,TRUNK,46009.0,84009.0,5-7,6-12,6-9,8-12,No Loop
188,170,SBST,1,TRUNK,1109.0,46239.0,12-18,13-20,18-19,12-15,No Loop
189,170,SBST,2,TRUNK,46239.0,1109.0,14-15,13-18,17-18,13-18,No Loop
190,170A,SBST,1,TRUNK,1109.0,46069.0,19-21,16-28,20-21,15-21,No Loop
191,170X,SBST,1,TRUNK,45131.0,47711.0,04-09,05-17,05-09,07-11,No Loop
192,170X,SBST,2,TRUNK,47711.0,45139.0,06-10,05-17,05-09,07-11,No Loop
193,174,SBST,1,TRUNK,22009.0,10499.0,09-10,05-14,12-19,12-19,No Loop
194,174,SBST,2,TRUNK,10499.0,22009.0,14-15,08-14,12-15,14-16,No Loop
195,174e,SBST,1,EXPRESS,22009.0,10499.0,13-13,-,-,-,No Loop
196,174e,SBST,2,EXPRESS,10499.0,22009.0,-,-,13-14,-,No Loop
197,175,SBST,1,TRUNK,17009.0,80009.0,11-15,10-20,15-15,17-19,No Loop
198,175,SBST,2,TRUNK,80009.0,17009.0,10-13,12-19,11-18,20-20,No Loop
199,179,SBST,1,TRUNK,22009.0,22009.0,04-08,03-06,04-06,05-07,Nanyang Dr
200,179A,SBST,1,TRUNK,22009.0,22009.0,02-07,04-08,-,-,Nanyang Dr
201,18,SBST,1,TRUNK,75019.0,75019.0,11-14,12-17,15-17,12-15,Bedok Nth Dr
202,181,SBST,1,TRUNK,22009.0,22009.0,6-8,6-10,6-8,7-12,Jurong West Ave 3
203,181M,SBST,1,TRUNK,22009.0,22009.0,06-07,-,-,-,Jurong West St 23
204,182,SBST,1,TRUNK,24009.0,24009.0,07-09,08-18,-,17-18,Tuas Sth Ave 9
205,182M,SBST,1,TRUNK,24009.0,24009.0,-,07-19,08-11,11-19,Tuas Sth Ave 9
206,185,SBST,1,TRUNK,22609.0,11389.0,10-18,11-18,12-15,13-15,No Loop
207,185,SBST,2,TRUNK,11379.0,22199.0,10-17,10-15,10-20,14-16,No Loop
208,186,SBST,1,TRUNK,3239.0,52499.0,14-17,11-19,11-14,11-17,No Loop
209,186,SBST,2,TRUNK,52499.0,3239.0,9-14,11-18,14-19,15-19,No Loop
210,19,SBST,1,TRUNK,75009.0,75009.0,06-07,06-16,06-08,08-14,Airport Cargo Rd
211,191,SBST,1,TRUNK,11379.0,11379.0,15-20,15-20,15-15,20-20,Media Circle
212,192,SBST,1,TRUNK,22009.0,25009.0,06-10,07-15,07-10,07-13,No Loop
213,192,SBST,2,TRUNK,25009.0,22009.0,08-09,07-13,05-09,13-14,No Loop
214,193,SBST,1,TRUNK,22009.0,25009.0,06-10,05-19,07-18,07-19,No Loop
215,193,SBST,2,TRUNK,25009.0,22009.0,09-18,07-19,07-09,08-18,No Loop
216,194,SBST,1,TRUNK,22009.0,22009.0,09-10,09-13,09-16,15-16,Jln Ahmad Ibrahim
217,195,SBST,1,TRUNK,2099.0,2089.0,08-13,07-23,08-17,08-16,C'wealth Ave
218,195A,SBST,1,TRUNK,2099.0,10169.0,-,23-53,-,-,C'wealth Ave
219,196,SBST,1,TRUNK,84009.0,17009.0,07-08,06-17,09-11,09-14,No Loop
220,196,SBST,2,TRUNK,17009.0,84009.0,11-14,05-15,08-13,11-13,No Loop
221,196A,SBST,1,TRUNK,84009.0,3218.0,-,-,-,-,No Loop
222,196e,SBST,1,EXPRESS,93049.0,3218.0,08-08,-,-,-,No Loop
223,196e,SBST,2,EXPRESS,3222.0,93041.0,-,-,08-08,-,No Loop
224,197,SBST,1,TRUNK,84009.0,28009.0,10-11,08-18,10-16,11-18,No Loop
225,197,SBST,2,TRUNK,28009.0,84009.0,07-16,09-18,10-15,13-15,No Loop
226,198,SBST,1,TRUNK,22009.0,10009.0,4-9,5-12,6-8,6-14,No Loop
227,198,SBST,2,TRUNK,10009.0,22009.0,4-9,5-12,5-9,9-13,No Loop
228,198A,SBST,1,TRUNK,22009.0,28459.0,-,-,09-17,08-19,No Loop
229,199,SBST,1,TRUNK,22009.0,22009.0,04-09,04-16,06-08,06-15,Nanyang Cres
230,1N,SBST,1,NIGHT SERVICE,2099.0,59561.0,-,-,-,40-40,No Loop
231,20,SBST,1,TRUNK,75009.0,75009.0,09-11,10-13,10-12,11-15,Changi Business Pk Ave 3
232,200,SBST,1,TRUNK,11379.0,11389.0,9-10,9-30,9-10,14-27,Clementi Rd
233,200A,SBST,1,TRUNK,11379.0,16009.0,-,-,-,-,Clementi Rd
234,201,SBST,1,TRUNK,16009.0,16009.0,10-12,11-15,10-14,12-15,Pandan Gdns
235,21,SBST,1,TRUNK,77009.0,52499.0,07-12,08-15,11-14,12-14,No Loop
236,21,SBST,2,TRUNK,52499.0,77009.0,09-11,08-14,09-14,12-15,No Loop
237,21A,SBST,1,TRUNK,80089.0,7231.0,-,-,05-24,-,No Loop
238,22,SBST,1,TRUNK,54009.0,75009.0,08-10,10-18,08-10,13-18,No Loop
239,22,SBST,2,TRUNK,75009.0,54009.0,09-10,09-17,09-10,10-15,No Loop
240,222,SBST,1,FEEDER,84009.0,84009.0,04-07,04-10,05-06,05-14,Chai Chee Dr
241,222A,SBST,1,FEEDER,84009.0,84039.0,26-26,-,-,-,No Loop
242,222B,SBST,1,FEEDER,84039.0,84031.0,31-45,-,35-35,46-46,Chai Chee Dr
243,225G,SBST,1,FEEDER,84009.0,84009.0,03-05,03-13,03-06,04-12,Bedok Nth St 3
244,225W,SBST,1,FEEDER,84009.0,84009.0,04-06,05-09,04-07,04-10,Bedok Nth St 3
245,228,SBST,1,FEEDER,84009.0,84009.0,8-9,8-17,8-10,9-26,Bedok Reservoir Rd
246,229,SBST,1,FEEDER,84009.0,84009.0,7-9,8-14,7-9,7-16,Bedok Sth Rd
247,23,SBST,1,TRUNK,75009.0,75009.0,06-07,05-12,06-09,08-16,Rochor Canal Rd
248,231,SBST,1,FEEDER,52009.0,52009.0,9-9,8-13,9-10,9-11,Lor 5 Toa Payoh
249,232,SBST,1,FEEDER,52009.0,52009.0,05-06,05-09,05-06,05-11,Toa Payoh East
250,235,SBST,1,FEEDER,52009.0,52009.0,6-8,7-10,7-8,7-11,Toa Payoh Rise
251,238,SBST,1,FEEDER,52009.0,52009.0,3-6,2-7,2-6,3-6,Lor 8 Toa Payoh
252,24,SBST,1,TRUNK,54009.0,54009.0,08-09,08-11,08-13,13-15,PTB2 Basement
253,240,SBST,1,FEEDER,22009.0,22009.0,7-8,6-10,6-9,8-12,Jln Ahmad Ibrahim
254,240A,SBST,1,FEEDER,21581.0,28091.0,05-14,-,-,-,No Loop
255,240M,SBST,1,TRUNK,28091.0,28099.0,18-18,-,18-18,-,Jurong West St 64
256,241,SBST,1,FEEDER,22009.0,22009.0,5-7,3-9,3-4,3-8,Jurong West St 91
257,241A,SBST,1,FEEDER,27271.0,22529.0,05-16,05-20,-,-,Jurong West St 91
258,242,SBST,1,FEEDER,22009.0,22009.0,6-7,6-10,6-9,6-10,Jurong West Ave 5
259,243G,SBST,1,FEEDER,22009.0,22009.0,05-06,03-06,04-04,04-08,Jurong West Ave 5
260,243W,SBST,1,FEEDER,22009.0,22009.0,05-08,03-07,03-05,03-10,Jurong West Ave 5
261,246,SBST,1,INDUSTRIAL,22009.0,22009.0,11-12,11-16,11-14,15-19,Boon Lay Dr
262,247,SBST,1,INDUSTRIAL,25009.0,25009.0,10-10,10-15,10-13,13-15,Tuas Bay Link
263,248,SBST,1,INDUSTRIAL,25009.0,25009.0,10-10,10-15,10-12,12-15,Tuas Sth Ave 14
264,249,SBST,1,INDUSTRIAL,22009.0,22009.0,6-9,6-18,8-10,13-26,Jln Samulun
265,25,SBST,1,TRUNK,54009.0,94009.0,05-06,05-11,05-08,12-16,No Loop
266,25,SBST,2,TRUNK,94009.0,54009.0,05-06,05-11,05-06,06-14,No Loop
267,251,SBST,1,INDUSTRIAL,22009.0,22009.0,06-07,08-18,08-11,11-18,Shipyard Rd
268,252,SBST,1,INDUSTRIAL,22009.0,22009.0,8-10,7-18,7-9,8-20,Joo Koon Rd
269,253,SBST,1,INDUSTRIAL,24009.0,24009.0,09-10,10-14,10-12,12-14,Benoi Rd
270,254,SBST,1,TRUNK,24009.0,24009.0,07-08,07-14,07-11,11-15,Tuas Ave 11
271,255,SBST,1,INDUSTRIAL,24009.0,24009.0,07-07,07-11,07-07,10-14,Gul Cres
272,257,SBST,1,INDUSTRIAL,24009.0,24009.0,6-6,6-15,6-6,6-16,Pioneer Sector 2
273,258,SBST,1,INDUSTRIAL,24009.0,24009.0,10-12,11-14,11-14,11-14,Jurong West St 64
274,26,SBST,1,TRUNK,84009.0,52009.0,08-09,08-13,08-10,08-13,No Loop
275,26,SBST,2,TRUNK,52009.0,84009.0,07-10,08-11,09-10,09-13,No Loop
276,261,SBST,1,FEEDER,54009.0,54009.0,04-05,05-07,04-06,05-09,Ang Mo Kio Ave 10
277,262,SBST,1,FEEDER,54009.0,54009.0,07-08,10-12,07-10,08-15,Ang Mo Kio Ave 2
278,265,SBST,1,FEEDER,55009.0,55009.0,05-07,05-11,05-07,07-13,Ang Mo Kio Ave 10
279,268,SBST,1,FEEDER,55009.0,55009.0,06-08,07-13,07-08,07-14,Ang Mo Kio Ave 5
280,268A,SBST,1,FEEDER,55009.0,54659.0,28-30,-,-,-,Ang Mo Kio Ave 5
281,268B,SBST,1,FEEDER,55309.0,54261.0,34-35,-,33-33,-,No Loop
282,268C,SBST,1,FEEDER,54269.0,55301.0,31-31,-,34-34,-,No Loop
283,269,SBST,1,FEEDER,54009.0,54009.0,04-06,04-08,04-06,05-14,Ang Mo Kio St 61
284,269A,SBST,1,FEEDER,54009.0,55169.0,-,19-22,16-26,11-51,Ang Mo Kio St 61
285,27,SBST,1,TRUNK,64009.0,64009.0,06-08,06-08,07-10,09-11,PTB2 Basement
286,272,SBST,1,FEEDER,10009.0,10009.0,8-10,7-16,8-12,12-16,Telok Blangah Rise
287,273,SBST,1,FEEDER,10009.0,10009.0,7-9,7-12,8-10,8-14,Henderson Rd
288,27A,SBST,1,TRUNK,67261.0,76139.0,05-12,07-08,-,-,No Loop
289,28,SBST,1,TRUNK,75009.0,52009.0,09-12,07-14,13-16,13-14,No Loop
290,28,SBST,2,TRUNK,52009.0,75009.0,09-14,07-15,07-11,12-17,No Loop
291,29,SBST,1,TRUNK,75009.0,75009.0,08-10,07-15,09-10,09-20,Changi Village Rd
292,291,SBST,1,FEEDER,75009.0,75009.0,03-05,03-09,03-06,05-12,Tampines St 81
293,292,SBST,1,FEEDER,75009.0,75009.0,08-08,09-15,08-08,10-15,Tampines St 22
294,293,SBST,1,FEEDER,75009.0,75009.0,04-06,04-08,04-08,06-14,Tampines St 71
295,298,SBST,1,FEEDER,75019.0,75019.0,10-10,10-12,10-12,10-16,Tampines Street 86
296,29A,SBST,1,TRUNK,75009.0,76241.0,-,-,26-38,36-36,No Loop
297,2N,SBST,1,NIGHT SERVICE,2099.0,75109.0,-,-,-,40-40,No Loop
298,30,SBST,1,TRUNK,84009.0,22009.0,08-09,06-18,14-15,11-16,No Loop
299,30,SBST,2,TRUNK,22009.0,84009.0,09-10,08-15,08-15,11-18,No Loop
300,30e,SBST,1,EXPRESS,84009.0,16061.0,12-12,-,-,-,No Loop
301,30e,SBST,2,EXPRESS,16069.0,84009.0,-,-,12-12,-,No Loop
302,31,SBST,1,TRUNK,75009.0,52009.0,06-11,06-17,09-11,14-15,No Loop
303,31,SBST,2,TRUNK,52009.0,75009.0,09-09,08-16,09-10,13-17,No Loop
304,315,SBST,1,FEEDER,66009.0,66009.0,8-9,8-14,9-10,10-14,S'goon Nth Ave 5
305,317,SBST,1,FEEDER,66009.0,66009.0,7-9,8-16,8-10,9-17,Berwick Dr
306,31A,SBST,1,TRUNK,75009.0,85099.0,08-11,10-29,-,-,No Loop
307,32,SBST,1,TRUNK,84009.0,11389.0,10-17,10-18,14-18,15-17,No Loop
308,32,SBST,2,TRUNK,11379.0,84009.0,12-14,09-20,12-13,15-19,No Loop
309,324,SBST,1,FEEDER,64009.0,64009.0,09-10,09-15,09-10,09-15,Upp Serangoon View
310,325,SBST,1,FEEDER,64009.0,64009.0,9-10,9-13,9-10,10-13,Hougang St 91
311,329,SBST,1,FEEDER,64009.0,64009.0,10-10,12-12,10-12,10-15,Buangkok Cres
312,33,SBST,1,TRUNK,84009.0,16009.0,09-16,09-16,12-14,12-15,No Loop
313,33,SBST,2,TRUNK,16009.0,84009.0,08-14,08-16,09-11,11-16,No Loop
314,33A,SBST,1,TRUNK,16009.0,10149.0,-,-,-,-,No Loop
315,33B,SBST,1,TRUNK,84009.0,81179.0,17-17,09-41,-,-,No Loop
316,35,SBST,1,TRUNK,84009.0,84009.0,09-10,09-15,09-15,15-15,Alps Ave
317,35M,SBST,1,TRUNK,84009.0,84009.0,-,-,-,15-20,Tanah Merah Ferry Rd
318,37,SBST,1,TRUNK,75009.0,75009.0,09-09,09-17,10-12,12-12,Changi Nth Cres
319,371,SBST,1,FEEDER,67009.0,67009.0,10-10,8-13,10-13,8-14,Rivervale Cres
320,372,SBST,1,FEEDER,67009.0,67009.0,7-9,8-12,9-10,8-11,Punggol Rd
321,374,SBST,1,FEEDER,67759.0,67759.0,11-11,12-12,10-12,11-15,Fernvale Rd
322,38,SBST,1,TRUNK,75009.0,84009.0,09-10,09-14,09-14,12-15,No Loop
323,38,SBST,2,TRUNK,84009.0,75009.0,09-10,08-14,09-10,11-16,No Loop
324,39,SBST,1,TRUNK,75019.0,59009.0,07-13,08-15,08-10,14-18,No Loop
325,39,SBST,2,TRUNK,59009.0,75019.0,08-12,07-14,09-10,13-16,No Loop
326,3N,SBST,1,NIGHT SERVICE,2099.0,45301.0,-,-,-,40-40,No Loop
327,4,SBST,1,TRUNK,75009.0,75009.0,10-12,11-13,10-13,11-12,Changi Nth Way
328,40,SBST,1,TRUNK,84009.0,84009.0,12-14,13-18,15-18,18-20,Merpati Rd
329,400,SBST,1,TRUNK,3239.0,3239.0,15-15,18-20,14-15,19-20,Marina Gdns Dr
330,401,SBST,1,TRUNK,84009.0,84009.0,-,21-25,25-26,25-27,Fort Rd
331,402,SBST,1,TRUNK,3239.0,3239.0,08-13,11-18,13-18,15-17,Marina Coastal Dr
332,405,SBST,1,TRUNK,22009.0,22009.0,22-22,25-26,-,-,Old Choa Chu Kang Rd
333,410,SBST,1,FEEDER,53009.0,53009.0,05-06,05-10,04-05,04-12,Shunfu Rd
334,410,SBST,2,FEEDER,53009.0,53009.0,05-06,05-12,06-06,06-14,Shunfu Rd
335,410G,SBST,1,FEEDER,53009.0,53009.0,05-07,06-12,06-07,06-14,Shunfu Rd
336,410W,SBST,1,FEEDER,53009.0,53009.0,05-06,05-10,04-05,04-12,Shunfu Rd
337,42,SBST,1,TRUNK,83321.0,83321.0,09-11,09-19,10-15,08-18,Fidelio St
338,45,SBST,1,TRUNK,94009.0,55009.0,08-16,08-18,08-13,08-18,No Loop
339,45,SBST,2,TRUNK,55009.0,94009.0,11-14,08-19,08-10,16-18,No Loop
340,45A,SBST,1,TRUNK,63291.0,62139.0,26-27,-,-,-,No Loop
341,46,SBST,1,TRUNK,94009.0,75009.0,12-12,13-15,12-12,12-16,No Loop
342,46,SBST,2,TRUNK,75009.0,94009.0,12-12,14-15,12-15,12-16,No Loop
343,47,SBST,1,TRUNK,97009.0,97009.0,09-10,09-13,10-10,12-14,Amber Rd
344,48,SBST,1,TRUNK,84431.0,11379.0,06-09,07-17,11-13,13-19,No Loop
345,48,SBST,2,TRUNK,11379.0,84299.0,10-13,09-16,08-17,14-18,No Loop
346,4N,SBST,1,NIGHT SERVICE,2099.0,78059.0,-,-,-,40-40,No Loop
347,5,SBST,1,TRUNK,77009.0,10009.0,06-14,07-17,12-14,12-18,No Loop
348,5,SBST,2,TRUNK,10009.0,77009.0,09-13,09-16,08-16,11-17,No Loop
349,50,SBST,1,TRUNK,53009.0,65009.0,08-13,09-13,10-13,12-15,No Loop
350,50,SBST,2,TRUNK,65009.0,53009.0,08-14,10-14,11-15,12-13,No Loop
351,502,SBST,1,EXPRESS,22609.0,22609.0,15-15,13-22,11-22,18-22,Central Blvd
352,502A,SBST,1,EXPRESS,22609.0,3529.0,20-20,-,-,-,No Loop
353,506,SBST,1,EXPRESS,28009.0,94009.0,12-15,12-22,16-24,19-24,No Loop
354,506,SBST,2,EXPRESS,94009.0,28009.0,15-19,14-22,13-18,19-21,No Loop
355,51,SBST,1,TRUNK,64009.0,28009.0,10-11,08-19,11-13,12-15,No Loop
356,51,SBST,2,TRUNK,28009.0,64009.0,12-14,09-17,08-16,10-16,No Loop
357,513,SBST,1,EXPRESS,75129.0,3218.0,07-08,-,-,-,No Loop
358,513,SBST,2,EXPRESS,3222.0,75121.0,-,-,15-15,-,No Loop
359,51A,SBST,1,TRUNK,28009.0,20191.0,-,-,-,17-17,No Loop
360,52,SBST,1,TRUNK,53009.0,28009.0,09-13,09-16,11-13,13-15,No Loop
361,52,SBST,2,TRUNK,28009.0,53009.0,08-16,10-17,11-20,14-19,No Loop
362,53,SBST,1,TRUNK,53009.0,53009.0,07-11,05-11,06-12,09-12,PTB2 Basement
363,53A,SBST,1,TRUNK,77289.0,95129.0,-,-,-,-,PTB2 Basement
364,53M,SBST,1,TRUNK,63261.0,63269.0,6-17,4-25,7-22,5-23,S'goon Ctrl
365,54,SBST,1,TRUNK,53009.0,10499.0,10-15,11-15,13-15,12-15,No Loop
366,54,SBST,2,TRUNK,10499.0,53009.0,13-19,10-15,11-18,11-18,No Loop
367,55,SBST,1,TRUNK,53009.0,94009.0,08-10,09-13,11-14,13-19,No Loop
368,55,SBST,2,TRUNK,94009.0,53009.0,09-10,09-15,09-14,12-14,No Loop
369,55B,SBST,1,TRUNK,53009.0,54381.0,-,-,-,15-15,No Loop
370,56,SBST,1,TRUNK,53009.0,2099.0,10-11,10-18,13-14,13-17,No Loop
371,56,SBST,2,TRUNK,2099.0,53009.0,10-16,10-17,11-15,15-16,No Loop
372,57,SBST,1,TRUNK,53009.0,10009.0,08-12,10-18,13-16,13-17,No Loop
373,57,SBST,2,TRUNK,10009.0,53009.0,09-15,08-17,09-15,14-18,No Loop
374,58,SBST,1,TRUNK,53009.0,77009.0,07-10,07-17,11-13,17-18,No Loop
375,58,SBST,2,TRUNK,77009.0,53009.0,08-10,08-19,07-14,15-17,No Loop
376,58A,SBST,1,TRUNK,62131.0,75351.0,-,-,-,-,No Loop
377,58B,SBST,1,TRUNK,77009.0,70281.0,-,-,-,-,No Loop
378,59,SBST,1,TRUNK,53009.0,99009.0,09-10,08-17,13-17,15-17,No Loop
379,59,SBST,2,TRUNK,99009.0,53009.0,10-13,08-16,08-19,14-19,No Loop
380,5N,SBST,1,NIGHT SERVICE,2099.0,27159.0,-,-,-,40-40,No Loop
381,60,SBST,1,TRUNK,82009.0,82009.0,06-10,05-10,05-12,06-16,Bedok Nth Dr
382,60A,SBST,1,TRUNK,82009.0,84511.0,-,-,10-14,11-52,No Loop
383,63,SBST,1,TRUNK,82009.0,82009.0,07-09,09-16,08-14,09-14,Jln Rumah Tinggi
384,63M,SBST,1,TRUNK,82009.0,82009.0,08-14,11-18,14-16,10-14,Circuit Rd
385,64,SBST,1,TRUNK,80289.0,80289.0,10-12,12-16,14-17,13-16,Mei Ling St
386,65,SBST,1,TRUNK,75009.0,14009.0,09-10,08-16,10-11,10-15,No Loop
387,65,SBST,2,TRUNK,14009.0,75009.0,08-10,08-12,10-13,07-15,No Loop
388,655,SBST,1,CITY_LINK,20129.0,3391.0,15-15,-,-,-,No Loop
389,655,SBST,2,CITY_LINK,3539.0,20121.0,-,-,15-15,-,No Loop
390,660,SBST,1,EXPRESS,66481.0,3218.0,06-07,-,-,-,No Loop
